genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Delphinapterus,leucas,beluga whale,983,2.99255352,15575.0847,kcal/day,15575.08465,4.19243042,c,aquatic,yes,artiodactyla,"Rosen and Trites, 2013; Kasting et al., 1989; Genoud 2017 dataset"
Enhydra,lutris,sea otter,18,1.25527251,12960,ml O2/h,1555.2,3.19178625,c,aquatic,yes,carnivora,Morrison et al. (1974)
Halichoerus,grypus,grey seal,175.7625,2.24492622,3979.77,kcal/day,3979.77,3.59985797,c,aquatic,yes,carnivora,"Schmitz and Lavigne, 1984; Boily and Lavigne 1995; Genoud 2017 dataset"
Leptonychotes,weddellii,weddell seal,396.1875,2.59790077,9834.485,kcal/day,9834.485,3.99275162,c,aquatic,yes,carnivora,"Schmitz and Lavigne, 1984; Williams et al., 2001; Genoud 2017 dataset"
Orcinus,orca,killer whale/orca,4464.33333,3.64975661,46626.992,kcal/day,46626.992,4.6686374,c,aquatic,yes,artiodactyla,"Worthy, 2014; Kriete 1995; Genoud 2017 dataset"

Phocoena,phocoena,harbor porpoise,28.1,1.44870632,219,ml O2/min,1513.728,3.18004784,c,aquatic,yes,artiodactyla,Randall Davis

Phoca,vitulina,harbor seal,85.2333333,1.93060947,3044.68293,kcal/day,3044.682933,3.48354207,c,aquatic,yes,carnivora,"Schmitz and Lavigne, 1984; Ochoa-Acuna et al., 2009; Genoud 2017 dataset; Randall Davis"

Pagophilus,groenlandicus,harp seal,138.646667,2.14190943,3275.86455,kcal/day,3275.864555,3.51532594,c,aquatic,yes,carnivora,"Schmitz and Lavigne, 1984; Ochoa-Acuna et al., 2009; Genoud 2017 dataset; Randall Davis"

Pusa,hispida,ringed seal,38.7,1.673942,1446,kcal/day,1446,3.160168293,c,aquatic,yes,carnivora,"Schmitz and Lavigne, 1984; Ochoa-Acuna et al., 2009; Genoud 2017 dataset, Thometz et al 2021"

Trichechus,manatus,west Indian manatee,250,2.39794001,2779,kcal/day,2779,3.44388855,h,aquatic,yes,sirenia,"Schmitz and Lavigne, 1984"

Trichechus,inunguis,amazonian manatee,170.5,2.23172438,8531,ml O2/h,1023.72,3.01018119,h,aquatic,yes,sirenia,Gallivan & Best (1980)

Tursiops,truncatus,bottlenose dolphins,185.5625,2.26849021,4702.725,kcal/day,4702.725,3.67234958,c,aquatic,yes,artiodactyla,"Pedersen et al., 2020; Yeates and Houser 2008; Genoud 2017 dataset"

Zalophus,californianus,california sea lion,96.75,1.98565097,8.33,ml O2/min kg,5367.7825,3.72979491,c,aquatic,yes,carnivora,"Hurley and Costa, 2001"

Erignathus,barbatus,bearded seal,121.7,2.085290578,0.444,l O2/min,3103,3.491781776,c,aquatic,subadult,carnivora,Thometz et al 2021

Phoca,largha,spotted seal,69.5,1.841984805,0.358,l O2/min,2497,3.397418542,c,aquatic,yes,carnivora,Thometz et al 2021

Abrothrix,lanosus,woolly grass mouse,0.024,-1.6197888,45.6,ml O2/h,5.47,0.73814609,o,land,yes,rodentia,"White and Seymour, 2003"

Abrothrix,longipilis,abro thrix longipilis,0.0423,-1.3736596,57.5,ml O2/h,6.9,0.83884909,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic & Rosenmann (1988a); Genoud 2017 dataset"

Abrothrix,andinus,andean altiplano mouse,0.34633,-0.4605099,64.3744,ml O2/h,7.724928,0.88789444,o,land,yes,rodentia,Lovegrove (2003); Bozinovic & Rosenmann (1988a)

Abrothrix,olivaceus,olive grass mouse,0.027,-1.5686362,49.405,ml O2/h,5.92965,0.773029,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic & Rosenmann (1988a); Genoud 2017 dataset"

Acinonyx,jubatus,cheetah,37.9,1.57863921,8982,ml O2/h,1077.84,3.0325543,c,land,yes,carnivora,"White and Seymour, 2003; McNab 2000; Genoud 2017 dataset"

Acomys,cahirinus,cairo spiny mouse,0.042,-1.3767507,46.2,ml O2/h,5.54,0.74382322,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Shkolnik & Borut (1969); Genoud 2017 dataset"

Acomys,russatus,golden spiny mouse,0.051257,-1.2902468,40.9132,ml O2/h,4.91,0.69104469,o,land,yes,rodentia,"White and Seymour, 2003; Shkolnik & Borut 1969; Genoud 2017 dataset"

Acomys,spinosissimus,southern african spiny mouse,0.02702,-1.5683147,44.12,ml O2/h,5.29,0.72361984,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Perrin and Downs 1994; Genoud 2017 dataset"

