name,order,family,genus,species,mass,logmb,fh,logfh,habitat,adult,fasted,resting,tnz,nonrep,sedated,Primary Source,Secondary Source (if used),Number of Animals,Breathing Frequency from Same Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea otter,carnivora,Mustelidae,Enhydra,lutris,11,1.041392685,139,2.1430148,aquatic,y,n,n,m,m,n,"Galantsev and Maminov, 1979","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,carnivora,Canidae,Canis,lupus,18.1,1.257678575,104,2.017033339,land,y,n,y,m,m,n,"Matsunaga et al., 2001","Mortola, 2015",16+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe deer,artiodactyla,Cervidae,Capreolus,capreolus,20.7,1.315970345,104,2.017033339,land,y,n,m,m,m,n,"Santamarina et al., 2001","Mortola, 2015",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountain gazelle,artiodactyla,Bovidae,Gazella,gazella,21.5,1.33243846,105,2.021189299,land,y,m,y,m,m,n,"Furley, 1986","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaver,rodentia,Castoridae,Castor,canadensis,22,1.342422681,116,2.064457989,aquatic,y,n,y,m,m,n,"Gilbert and Gofton, 1982","Mortola, 2015",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic goat,artiodactyla,Bovidae,Capra,hircus,24.5,1.389166084,75,1.875061263,land,y,m,m,m,m,n,"Merck, 2012","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor seal,carnivora,Phocidae,Phoca,vitulina,38.6667,1.587337109,120,2.079181246,aquatic,y,n,y,m,m,n,"Fedak, Pullen, and Kanwisher, 1988","Mortola, 2015",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor porpoise,artiodactyla,Phocoenidae,Phocoena,phocoena,48,1.681241237,123,2.089905111,aquatic,y,n,y,m,n,n,"McDonald et al., 2018",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheep,artiodactyla,Bovidae,Ovis,aries,53.3,1.726727209,96,1.982271233,land,y,n,n,m,y,n,"Reefmann et al., 2009","Mortola, 2015",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mule deer,artiodactyla,Cervidae,Odocoileus,hemionus,72,1.857332496,53,1.72427587,land,y,n,y,m,m,n,"Weisenberger et al., 1996",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human,primates,Hominidae,Homo,sapiens,72.5,1.860338007,69.65,1.842921121,land,y,n,y,m,y,n,"Bosco et al., 2003","Mortola and Lanthier, 2004",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black bear,carnivora,Ursidae,Ursus,americanus,76.6,1.88422877,66,1.819543936,land,y,y,y,m,y,n,"Folk, 1967","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
california sea lion,carnivora,Otariidae,Zalophus,californianus,80,1.903089987,54,1.73239376,aquatic,y,n,y,m,y,n,"McDonald and Ponganis, 2014","Mortola, 2015",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harbor seal,carnivora,Phocidae,Phoca,vitulina,82.25,1.915135907,73.75,1.867762025,aquatic,y,n,y,m,y,n,"Kaczmarek, 2018",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpine ibex,artiodactyla,Bovidae,Capra,ibex,92,1.963787827,70,1.84509804,land,y,n,y,m,m,n,"Signer et al., 2011","Mortola, 2015",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bighorn sheep,artiodactyla,Bovidae,Ovis,canadensis,98,1.991226076,60,1.77815125,land,y,n,y,m,m,n,"Weisenberger et al., 1996","Mortola, 2015",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazonian manatee,sirenia,Trichechidae,Trichechus,inunguis,120,2.079181246,35,1.544068044,aquatic,y,n,y,m,y,n,"Gallivan et al., 1986","Mortola, 2015",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donkey,perissodactyla,Equidae,Equus,africanus,178,2.250420002,36.3,1.559906625,land,y,m,y,m,n,n,"Yousef and Dill, 1969",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,193.525,2.286737076,76,1.880813592,aquatic,y,m,y,m,m,n,"Blawas et al., ; Cauture et al., 2019",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polar bear,carnivora,Ursidae,Ursus,maritimus,230,2.361727836,52,1.716003344,aquatic,y,n,y,m,y,n,"Ortsland et al., 1977","Mortola, 2015",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muskox,artiodactyla,Bovidae,Ovibos,moschatus,265,2.423245874,57.5,1.759667845,land,y,n,m,m,n,n,"Glover and Haigh, 1984","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,artiodactyla,Suidae,Sus,scrofa,308,2.488550717,95,1.977723605,land,y,m,m,m,m,n,"Merck, 2012","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west Indian manatee,sirenia,Trichechidae,Trichechus,manatus,350,2.544068044,34,1.531478917,aquatic,y,n,n,m,m,n,"Galantsev and Mukhametov, 1984","Mortola, 2015",1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weddell seal,carnivora,Phocidae,Leptonychotes,weddellii,362,2.558708571,53.75,1.730378469,aquatic,y,n,y,m,y,n,"Fuse et al., 2012","Mortola, 2015",1,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
