name,order,family,genus,species,mass,logmb,fh,logfh,habitat,adult,fasted,resting,tnz,nonrep,sedated
gray whale,artiodactyla,Balaenopteridae,Eschrichtius,robustus,5552,3.744449457,28,1.447158031,aquatic,n,n,y,m,y,n
indian elephant,proboscidea,Elephantidae,Elephas,maximus indicus,5000,3.698970004,35.5,1.550228353,land,y,n,m,m,m,n
african elephant,proboscidea,Elephantidae,Loxodonta,africana,3515.342,3.545967583,36.67,1.56431091,land,y,n,y,m,m,n
asian elephant,proboscidea,Elephantidae,Elephas,maximus,2710,3.432969291,39.8,1.599883072,land,y,n,y,m,m,n
killer whale/orca,artiodactyla,Delphinidae,Orcinus,orca,3024.33,3.480629177,44,1.643452676,aquatic,y,n,y,m,m,n
southern elephant seal,carnivora,Phocidae,Mirounga,leonina,1973,3.295127085,53,1.72427587,aquatic,y,n,y,m,m,n
hippo,artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1770,3.247973266,95,1.977723605,aquatic,n,n,n,m,y,n
walrus,carnivora,Odobenidae,Odobenus,rosmarus,963.679,2.983932395,36,1.556302501,aquatic,y,n,y,m,y,n
pilot whale,artiodactyla,Delphinidae,Globicephala,macrorhynchus,907,2.957607287,61,1.785329835,aquatic,y,n,y,m,m,n
asian buffalo,artiodactyla,Bovidae,Bubalus,arnee,810,2.908485019,42.95,1.632963168,land,y,n,y,m,m,n
stellar sea lion,carnivora,Otariidae,Eumetopias,jubatus,800,2.903089987,86,1.934498451,aquatic,y,n,n,m,m,n
beluga whale,artiodactyla,Monodontidae,Delphinapterus,leucas,1321,3.120902818,33,1.51851394,aquatic,y,n,y,m,m,n
northern elephant seal,carnivora,Phocidae,Mirounga,angustirostris,1175,3.070037867,84,1.924279286,aquatic,y,n,y,m,y,n
horse,perissodactyla,Equidae,Equus,caballus,592,2.772321707,44.7,1.650307523,land,y,n,y,y,n,n
camel,artiodactyla,Camelidae,Camelus,dromedarius,545,2.736396502,49,1.69019608,land,y,n,y,m,m,n
false killer whale,artiodactyla,Delphinidae,Pseudorca,crassidens,525,2.720159303,65,1.812913357,aquatic,y,m,y,m,m,n
giraffe,artiodactyla,Giraffidae,Giraffa,camelopardalis,525,2.720159303,160,2.204119983,land,y,m,y,m,y,y
gaur,artiodactyla,Bovidae,Bos,gaurus,520,2.716003344,53.5,1.728353782,land,y,n,y,m,m,n
cow,artiodactyla,Bovidae,Bos,taurus,416.3,2.619406411,62,1.792391689,land,y,n,y,m,m,n
dugong,sirenia,Dugongidae,Dugong,dugon,501,2.699837726,75,1.875061263,aquatic,y,n,y,m,m,n
yak,artiodactyla,Bovidae,Bos,grunniens,465,2.667452953,53,1.72427587,land,y,n,m,m,n,n
weddell seal,carnivora,Phocidae,Leptonychotes,weddellii,362,2.558708571,53.75,1.730378469,aquatic,y,n,y,m,y,n
west Indian manatee,sirenia,Trichechidae,Trichechus,manatus,350,2.544068044,34,1.531478917,aquatic,y,n,n,m,m,n
pig,artiodactyla,Suidae,Sus,scrofa,308,2.488550717,95,1.977723605,land,y,m,m,m,m,n
muskox,artiodactyla,Bovidae,Ovibos,moschatus,265,2.423245874,57.5,1.759667845,land,y,n,m,m,n,n
hooded seal,carnivora,Phocidae,Cystophora,cristata,250,2.397940009,45,1.653212514,aquatic,n,n,y,m,y,n
syrian brown bear,carnivora,Ursidae,Ursus,arctos,250,2.397940009,70,1.84509804,land,y,m,y,m,y,y
polar bear,carnivora,Ursidae,Ursus,maritimus,230,2.361727836,52,1.716003344,aquatic,y,n,y,m,y,n
siberian tiger,carnivora,Felidae,Panthera,tigris,220,2.342422681,82,1.913813852,land,y,m,y,m,y,y
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,197.75,2.296116492,64.5,1.809559715,aquatic,y,m,y,m,m,n
donkey,perissodactyla,Equidae,Equus,africanus,178,2.250420002,36.3,1.559906625,land,y,m,y,m,n,n
lion,carnivora,Felidae,Panthera,leo,165,2.217483944,115,2.06069784,land,y,m,y,m,y,y
amazonian manatee,sirenia,Trichechidae,Trichechus,inunguis,120,2.079181246,35,1.544068044,aquatic,y,n,y,m,y,n
gemsbuck,artiodactyla,Bovidae,Oryx,gazella,120,2.079181246,47,1.672097858,land,y,m,y,m,m,y
zebra,perissodactyla,Equidae,Equus,zebra,109,2.037426498,145,2.161368002,land,y,m,m,m,m,y
antarctic fur seal,carnivora,Phocidae,Arctocephalus,gazella,100,2,71,1.851258349,aquatic,n,n,y,m,m,n
orangutan,primates,Hominidae,Pongo,pygmaeus,100,2,110,2.041392685,land,y,m,m,m,m,y
bighorn sheep,artiodactyla,Bovidae,Ovis,canadensis,98,1.991226076,60,1.77815125,land,y,n,y,m,m,n
alpine ibex,artiodactyla,Bovidae,Capra,ibex,92,1.963787827,70,1.84509804,land,y,n,y,m,m,n
sloth bear,carnivora,Ursidae,Melursus,ursinus,90,1.954242509,56,1.748188027,land,y,m,y,m,y,y
black bear,carnivora,Ursidae,Ursus,americanus,76.6,1.88422877,66,1.819543936,land,y,y,y,m,y,n
human,primates,Hominidae,Homo,sapiens,72.5,1.860338007,69.65,1.842921121,land,y,n,y,m,y,n
mule deer,artiodactyla,Cervidae,Odocoileus,hemionus,72,1.857332496,53,1.72427587,land,y,n,y,m,m,n
harbor seal,carnivora,Phocidae,Phoca,vitulina,82.25,1.915135907,73.75,1.867762025,aquatic,y,n,y,m,y,n
sheep,artiodactyla,Bovidae,Ovis,aries,53.3,1.726727209,96,1.982271233,land,y,n,n,m,y,n
harbor porpoise,artiodactyla,Phocoenidae,Phocoena,phocoena,48,1.681241237,123,2.089905111,aquatic,y,n,y,m,n,n
chimpanzee,primates,Hominidae,Pan,troglodytes,50.2,1.700703717,114,2.056904851,land,y,m,y,m,m,y
harp seal,carnivora,Phocidae,Pagophilus,groenlandicus,48,1.681241237,106,2.025305865,aquatic,n,y,y,y,y,n
california sea lion,carnivora,Otariidae,Zalophus,californianus,80,1.903089987,54,1.73239376,aquatic,y,n,y,m,y,n
harbor seal,carnivora,Phocidae,Phoca,vitulina,38.6667,1.587337109,120,2.079181246,aquatic,y,n,y,m,m,n
domestic goat,artiodactyla,Bovidae,Capra,hircus,24.5,1.389166084,75,1.875061263,land,y,m,m,m,m,n
australian fur seal,carnivora,Phocidae,Arctocephalus,pusillus,24,1.380211242,99,1.995635195,aquatic,n,n,y,m,y,n
beaver,rodentia,Castoridae,Castor,canadensis,22,1.342422681,116,2.064457989,aquatic,y,n,y,m,m,n
mountain gazelle,artiodactyla,Bovidae,Gazella,gazella,21.5,1.33243846,105,2.021189299,land,y,m,y,m,m,n
roe deer,artiodactyla,Cervidae,Capreolus,capreolus,20.7,1.315970345,104,2.017033339,land,y,n,m,m,m,n
dog,carnivora,Canidae,Canis,lupus,18.1,1.257678575,104,2.017033339,land,y,n,y,m,m,n
fur seal,carnivora,Phocidae,Callorhinus,ursinus,17,1.230448921,230,2.361727836,aquatic,n,n,m,m,y,n
sea otter,carnivora,Mustelidae,Enhydra,lutris,11,1.041392685,139,2.1430148,aquatic,y,n,n,m,m,n
