name,order,family,genus,species,mass,logmb,fr,logfr,habitat,adult,fasted,resting,tnz,nonrep,sedated
,,,,,,,,,,,,,,,
northern bottlenose whale,artiodactyla,Ziphiidae,Hyperoodon,ampullatus,6650,3.822821645,1.1,0.041392685,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
asian elephant,proboscidea,Elephantidae,Elephas,maximus,4550,3.658011397,7,0.84509804,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
minke whale,artiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,3842.5,3.584613876,0.83375,-0.078964153,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
rhino,perissodactyla,Rhinocerotidae,Ceratotherium,simum,3091,3.490099005,11,1.041392685,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
African and asian elephant,proboscidea,Elephantidae,multiple elephants,multiple elephants,2710,3.432969291,7.3,0.86332286,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
african elephant,proboscidea,Elephantidae,Loxodonta,africana,2611,3.416806872,5,0.698970004,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
killer whale/orca,artiodactyla,Delphinidae,Orcinus,orca,2026.2,3.306682311,1.32,0.120573931,aquatic,y,m,y,m,y,n
,,,,,,,,,,,,,,,
hippo,artiodactyla,Hippopotamidae,Hippopotamus,amphibius,1900,3.278753601,6,0.77815125,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
Humpback whale,artiodactyla,Balaenopteridae,Megaptera,novaeangliae,1360.78,3.133787918,3,0.477121255,aquatic,n,n,y,m,m,n
,,,,,,,,,,,,,,,
northern elephant seal,carnivora,Phocidae,Mirounga,angustirostris,1175,3.070037867,15.3,1.184691431,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
giraffe,artiodactyla,Giraffidae,Giraffa,camelopardalis,1012,3.005180513,7,0.84509804,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
walrus,carnivora,Odobenidae,Odobenus,rosmarus,963.679,2.983932395,3.82308,0.582413386,aquatic,y,n,y,m,m,n
,,,,,,,,,,,,,,,
pilot whale,artiodactyla,Delphinidae,Globicephala,macrorhynchus,845,2.926856709,0.69,-0.161150909,aquatic,y,m,y,m,m,n
,,,,,,,,,,,,,,,
wild water buffalo,artiodactyla,Bovidae,Bubalus,arnee,810,2.908485019,13,1.113943352,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
beluga whale,artiodactyla,Delphinidae,Delphinapterus,leucas,628,2.797959644,2.31,0.36361198,aquatic,y,n,y,m,y,n
,,,,,,,,,,,,,,,
horse,perissodactyla,Equidae,Equus,caballus,620,2.792391689,12,1.079181246,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
common eland,artiodactyla,Bovidae,Tragelaphus,oryx,580,2.763427994,17,1.230448921,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
american bison,artiodactyla,Bovidae,Bison,bison,576,2.760422483,23,1.361727836,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
camel,artiodactyla,Camelidae,Camelus,dromedarius,550,2.740362689,13.5,1.130333768,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
cow,artiodactyla,Bovidae,Bos,taurus,544,2.7355989,28,1.447158031,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
false killer whale,artiodactyla,Delphinidae,Pseudorca,crassidens,525,2.720159303,3.4667,0.53991626,aquatic,y,m,y,m,m,n
,,,,,,,,,,,,,,,
two-humped camel,artiodactyla,Camelidae,Camelus,bactrianus,515,2.711807229,7,0.84509804,land,y,n,y,m,m,n
,,,,,,,,,,,,,,,
polar bear,carnivora,Ursidae,Ursus,maritimus,500,2.698970004,13,1.113943352,aquatic,y,n,y,m,m,n
