genus,species,common name,body mass (kg),log10 body mass,hr,units,hr1,log10hr,habitat,usable,order corrected,Source,,
Arctocephalus,gazella,antarctic fur seal,100,2,71,bpm,71,1.851258349,aquatic,yes,carnivora,"Mortola, 2015; Salwicka and Stonehouse, 2000","Tables 1 and 2, immobilized, ""young""",
Arctocephalus,pusillus,australian fur seal,24,1.380211242,99,bpm,99,1.995635195,aquatic,maybe,carnivora,"Mortola, 2015; Deacon and Arnould, 2008","Tables 1 and 2, 9 months old",
Balaenoptera,musculus,blue whale,70000,4.84509804,25,bpm,25,1.397940009,aquatic,yes,artiodactyla,"Goldbogen PNAS, 2019",,
Balaenoptera,physalus,fin back whale,32000,4.505149978,30,bpm,30,1.477121255,aquatic,maybe,artiodactyla,Senft-1960,measured on land?,
Bos,grunniens,yak,465,2.667452953,53,bpm,53,1.72427587,land,yes,artiodactyla,"Mortola, 2015; Singh et al., 1989; Krishnan et al., 2009",Tables 1 and 2,
Bos,gaurus,gaur,520,2.716003344,53.5,bpm,53.5,1.728353782,land,yes,artiodactyla,"Thomas et al., 1996",Tables 1 and 2,
Bos,taurus,cow,520,2.716003344,59,bpm,59,1.770852012,land,yes,artiodactyla,"Mortola, 2015; Ishikawa et al., 1990; Merck, 2012",Tables 1 and 2,
Bubalus,arnee,asian buffalo,810,2.908485019,42.95,bpm,42.95,1.632963168,land,yes,artiodactyla,"Mortola, 2015; Lacuata Libo, 1983",Tables 1 and 2,
Callorhinus,ursinus,fur seal,17,1.230448921,230,bpm,230,2.361727836,aquatic,maybe,carnivora,Irving 1963,pup,
Camelus,dromedarius,camel,545,2.736396502,49,bpm,49,1.69019608,land,yes,artiodactyla,"Mortola, 2015; Rezakhani and Szabuniewicz, 1977",Tables 1 and 2,
Canis,lupus,dog,18.1,1.257678575,104,bpm,104,2.017033339,land,yes,carnivora,"Mortola, 2015; Matsunaga et al., 2001; Merck, 2012",Tables 1 and 2,
Capra,ibex,alpine ibex,92,1.963787827,70,bpm,70,1.84509804,land,yes,artiodactyla,"Mortola, 2015; Signer et al., 2011",Tables 1 and 2,
Capra,hircus,domestic goat,24.5,1.389166084,75,bpm,75,1.875061263,land,yes,artiodactyla,"Mortola, 2015; Merck, 2012",Tables 1 and 2,
Capreolus,capreolus,roe deer,20.7,1.315970345,104,bpm,104,2.017033339,land,yes,artiodactyla,"Mortola, 2015; Santamarina et al., 2001",Tables 1 and 2,
Castor,canadensis,beaver,22,1.342422681,136,bpm,136,2.133538908,aquatic,yes,rodentia,"Mortola, 2015; Gilbert and Gofton, 1982; McKean, 1982",Tables 1 and 2,
Cavia,porcellus,guinea pig,0.62,-0.207608311,252,bpm,252,2.401400541,land,yes,rodentia,"Mortola, 2015; Akita et al., 2001; Merck, 2012",Tables 1 and 2,
Cebus,albifrons,capuchin monkey,1,0,165,bpm,165,2.217483944,land,yes,primates,"Mortola, 2015; Winget et al., 1968",Tables 1 and 2,
Cystophora,cristata,hooded seal,250,2.397940009,45,bpm,45,1.653212514,aquatic,yes,carnivora,"Mortola, 2015; Kvadsheim et al., 2010","Tables 1 and 2, 1 yr old",
Delphinapterus,leucas,beluga whale,692.666667,2.840524289,44,bpm,44,1.643452676,aquatic,yes,artiodactyla,"Bickett and Tift, 2019; Fahlman unpublished, Mortola, 2015; Galantsev et al., 1991; Lyamin et al., 2011",,
Dugong,dugon,dugong,501,2.699837726,75,bpm,75,1.875061263,aquatic,yes,sirenia,"Mortola, 2015; Lanyon et al., 2010",Tables 1 and 2,
Elephas,maximus indicus,indian elephant,3885.13158,3.589405732,30.6315789,bpm,30.6315789,1.486169383,land,yes,proboscidea,"Mortola, 2015; Yathiraj et al., 1992; Benedict and Lee, 1936",,
Elephas,maximus,asian elephant,2710,3.432969291,39.8,bpm,39.8,1.599883072,land,yes,proboscidea,"Honeyman, Pettifer, and Dyson","Table 1, standing still, averaged from 15",
Enhydra,lutris,sea otter,11,1.041392685,139,bpm,139,2.1430148,aquatic,yes,carnivora,"Mortola, 2015; Galantsev and Maminov, 1979",Tables 1 and 2,
Equus,caballus,horse,592,2.772321707,37.9,bpm,37.9,1.57863921,land,yes,perissodactyla,"Mortola, 2015; Evans et al., 1976; Merck, 2012",Tables 1 and 2,
Equus,africanus,donkey,178,2.250420002,42,bpm,42,1.62324929,land,yes,perissodactyla,"Mortola, 2015; Yousef and Dill, 1969",Tables 1 and 2,
Equus,zebra,zebra,109,2.037426498,145,bpm,145,2.161368002,land,yes,perissodactyla,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Erythrocebus,patas,patas monkey,6,0.77815125,165,bpm,165,2.217483944,land,yes,primates,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Eschrichtius,robustus,gray whale,5026,3.701222484,35.5,bpm,35.5,1.550228353,aquatic,yes,artiodactyla,"Mortola, 2015; Ponganis and Kooyman, 1999; Smith and Wahrenbrock 1974",,
Eumetopias,jubatus,stellar sea lion,800,2.903089987,86,bpm,86,1.934498451,aquatic,yes,carnivora,"Mortola, 2015; Hindle et al., 2010",Tables 1 and 2,
Felis,catus,cat,4,0.602059991,113,bpm,113,2.053078443,land,yes,carnivora,"Mortola, 2015; Gompf and Tilley LP, 1979; Merck, 2012",Tables 1 and 2,
Gazella,gazella,mountain gazelle,21.5,1.33243846,105,bpm,105,2.021189299,land,yes,artiodactyla,"Mortola, 2015; Furley, 1986",Tables 1 and 2,
Giraffa,camelopardalis,giraffe,525,2.720159303,160,bpm,160,2.204119983,land,yes,artiodactyla,"Mortola, 2015; Wassenaar, 1993","Tables 1 and 2, sedated",
Globicephala,macrorhynchus,pilot whale,860.25,2.934624681,44.4,bpm,44.4,1.64738297,aquatic,yes,artiodactyla,"Bickett and Tift, 2019; Fahlman unpublished",,
Hippopotamus,amphibius,hippo,1770,3.247973266,95,bpm,95,1.977723605,aquatic,yes,artiodactyla,"Mortola, 2015; Elsner, 1966","Tables 1 and 2, young",
Homo,sapiens,human,72.5,1.860338007,69.65,bpm,69.65,1.842921121,land,yes,primates,"Mortola, 2015; Mortola and Lanthier, 2004; Smith and Wahrenbrock 1974",,
Leontocebus,fusciollis,saddleback tamarin,0.31,-0.508638306,190,bpm,190,2.278753601,land,yes,primates,"Mortola, 2015; Hampton, 1973",Tables 1 and 2,
Leptonychotes,weddellii,weddell seal,362,2.558708571,48,bpm,48,1.681241237,aquatic,yes,carnivora,"Mortola, 2015; Kooyman and Campbell, 1972; Zapol et al., 1979; Kooyman GL, 1985; Salwicka and Stonehouse, 2000; Fuse et al., 2012",Tables 1 and 2,
Loxodonta,africana,african elephant,2976.49087,3.473704555,38.84,bpm,38.84,1.589279221,land,yes,proboscidea,"Olivares, Kiley-Worthington, and Rendle Worthington, 2019; Mortola, 2015; Geddes LA, 2002; Merck, 2012; Honeyman, Pettifer, and Dyson",,
Macaca,mulatta,rhesus macaque,3.58,0.553883027,137,bpm,137,2.136720567,land,yes,primates,"Mortola, 2015; Fuller et al., 1996; Malinow et al., 1974",Tables 1 and 2,
Macaca,radiata,bonnet macaque,5,0.698970004,170,bpm,170,2.230448921,land,yes,primates,"Mortola, 2015; Reite and Short, 1986",Tables 1 and 2,
