name,order,family,genus,species,mass,logmb,rmr,logrmr,habitat,notes,adult,fasted,resting,tnz,nonrep
killer whale/orca,artiodactyla,Delphinidae,Orcinus,orca,5318,3.725748333,46954,4.671672596,aquatic,,y,y,y,y,y
elephant,proboscidea,Elephantidae,Elephas,maximus,3833,3.583538819,32160,4.50731604,land,,y,y,y,y,y
beluga whale,artiodactyla,Monodontidae,Delphinapterus,leucas,1341,3.127428778,17459,4.242019365,aquatic,,y,y,y,y,y
pacific walrus,carnivora,Odobenidae,Odobenus,rosmarus divergens,975,2.989004616,40104,4.603187692,aquatic,"old, well trained whale, 11 trials, overnight fast",y,y,y,y,y
horse,perissodactyla,Equidae,Equus,caballus,650,2.812913357,8532,3.931050847,land,,y,y,y,y,y
weddell seal,carnivora,Phocidae,Leptonychotes,weddellii,388.5,2.589391023,8951.04,3.951873498,aquatic,,y,y,m,y,y
moose,artiodactyla,Cervidae,Alces,alces,325,2.511883361,6170.28,3.790304872,land,"average of 3 black bears, a month after emergence from hibernation",m,y,y,y,y
west Indian manatee,sirenia,Trichechidae,Trichechus,manatus,250,2.397940009,2779,3.443888547,aquatic,some doubt of whether data was measured during thermoneutral conditions,y,y,y,y,y
blue wildebeest,artiodactyla,Bovidae,Connochaetes,taurinus,196.5,2.293362555,4949.04,3.694520964,land,"pre-apnea, resting, overnight fast, on water surface, average of 3 dolphins",y,y,y,m,y
muskox,artiodactyla,Bovidae,Ovibos,moschatus,195.5,2.291146762,3238.56,3.510351948,land,,y,y,y,y,y
grey seal,carnivora,Phocidae,Halichoerus,grypus,190.7,2.280350693,4056.72,3.608175033,aquatic,no comment was made on whether animal was in a postabsorptive state,y,y,y,y,y
bottlenose dolphins,artiodactyla,Delphinidae,Tursiops,truncatus,176.967,2.247892289,3708,3.569139725,aquatic,,y,y,y,y,y
amazonian manatee,sirenia,Trichechidae,Trichechus,inunguis,170.5,2.231724383,1023.72,3.010181188,aquatic,,y,y,y,y,y
striped dolphin,artiodactyla,Delphinidae,Stenella,coeruleoalba,150,2.176091259,8100,3.908485019,aquatic,,y,y,y,y,y
harp seal,carnivora,Phocidae,Pagophilus,groenlandicus,149.5,2.174641193,4108.32,3.613664264,aquatic,some doubt of whether animal was fully resting,y,y,y,y,y
