genus,species,common name,body mass (kg),log10 body mass,vt,units,vtt,log10vt,habitat,usable,order corrected,Source
Halichoerus,grypus,grey seal,205,2.31175386,6.3,liter,6300,3.79934055,aquatic,yes,carnivora,"Fahlman, Moore, and Garcia-Parrage, 2017"
Leptonychotes,weddellii,weddell seal,392.571,2.59391821,6364.29,ml,6364.29,3.80374996,aquatic,yes,carnivora,"Fahlman, Moore, and Garcia-Parrage, 2017; Kooyman, 1973; Kooyman, 1971; Falke et al., 2008"
Odobenus,rosmarus,walrus,740.5,2.86952506,11.5,liter,11500,4.06069784,aquatic,yes,carnivora,"Fahlman, Moore, and Garcia-Parrage, 2017"
Pagophilus,groenlandicus,harp seal,140.67,2.14820149,2.26,liter,2260,3.35410844,aquatic,yes,carnivora,"Gallivan, 1981"
Zalophus,californianus,california sea lion,81.457,1.91092841,2350.714,ml,2350.714,3.37119979,aquatic,yes,carnivora,Fahlman et al Aquat Mam
Balaenoptera,acutorostrata,minke whale,4905.375,3.69067221,218703.25,ml,218703.25,5.33985524,aquatic,yes,artiodactyla,"Blix and Folkow, 1995; Armstrong and Siegfried, 1991"
Delphinapterus,leucas,beluga whale,555,2.74429298,15000,ml,15000,4.17609126,aquatic,yes,artiodactyla,"Fahlman, Moore, and Garcia-Parrage, 2017; Fahlman et al., 2019"
Eschrichtius,robustus,gray whale,5186.69375,3.71489061,64000,ml,64000,4.80617997,aquatic,yes,artiodactyla,"Sumich, 1982; Fahlman, Moore, and Garcia-Parrage, 2017; Kooyman, Norris, and Gentry, 1975"
Globicephala,macrorhynchus,pilot whale,450,2.65321251,24.25,liter,24250,4.38471174,aquatic,yes,artiodactyla,"Fahlman, Moore, and Garcia-Parrage, 2017"
Orcinus,orca,killer whale/orca,3797.5,3.57949778,102416.667,ml,102416.667,5.01037064,aquatic,yes,artiodactyla,"Fahlman, Moore, and Garcia-Parrage, 2017; Spencer, Gornall III, and Poulter 1967; Kriete 1995"
Phocoena,phocoena,harbor porpoise,28,1.44715803,1.05,liter,1050,3.0211893,aquatic,yes,artiodactyla,"Fahlman, Moore, and Garcia-Parrage, 2017"
Pseudorca,crassidens,false killer whale,401,2.60314437,15200,ml,15200,4.18184359,aquatic,yes,artiodactyla,"Fahlman Fronteris, 2020"
Tursiops,truncatus,bottlenose dolphin,201.5,2.30427505,8587.5,ml,8587.5,3.93386675,aquatic,yes,artiodactyla,"Fahlman JEB 2015; Fahlman, Moore, and Garcia-Parrage, 2017"
Bos,taurus,cow,266.417,2.42556193,2785,ml,2785,3.4448252,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963; Grover et al., 1963"
Camelus,dromedarius,camel,550,2.74036269,4.1,liter,4100,3.61278386,land,yes,artiodactyla,Hugh Jones 1978
Capra,hircus,goat,37.6666667,1.57595719,602,ml,602,2.77959649,land,yes,artiodactyla,"Amoroso, Scott, and Williams, 1963"
Cervus,elaphus,red deer,83,1.91907809,0.6,liter,600,2.77815125,land,yes,artiodactyla,Hugh Jones 1978
Giraffa,camelopardalis,giraffe,400,2.60205999,3.3,liter,3300,3.51851394,land,yes,artiodactyla,Hugh Jones 1978
Lama,glama,llama,105,2.0211893,0.6,liter,600,2.77815125,land,yes,artiodactyla,Hugh Jones 1978
Ovis,aries,sheep,42.6,1.6294096,249,ml/m^2 BSA,249,2.39619935,land,yes,artiodactyla,"Halmagyi and Colebatch, 1961"
Felis,catus,cat,3.7,0.56820172,34,ml,34,1.53147892,land,yes,carnivora,"Crosfill and Widdicombe, 1961"
Canis,lupus,dog,16.2903,1.21192908,225.91,ml,225.91,2.35393546,land,yes,carnivora,"Amoroso, Scott, and Williams, 1963; Collier and Mead, 1964; Cook et al., 1959; Crosfill and Widdicombe, 1961; Drorbaugh, 1960; Lim et al., 1958"
Dasyuroides,byrnei,kowari,0.127,-0.8961963,1.38,ml,1.38,0.13987909,land,yes,dasyuromorphia,"Frappell and Baudinette, 1995"
Dasyurus,hallucatus,northern quoll,0.421,-0.3757179,4.8,ml,4.8,0.68124124,land,yes,dasyuromorphia,"Frappell and Baudinette, 1995"
Planigale,ingrami,long-tailed planigale,0.008,-2.09691,0.06,ml,0.06,-1.2218487,land,yes,dasyuromorphia,"Frappell and Baudinette, 1995"
Sminthopsis,griseoventer,grey-bellied dunnart,0.015,-1.8239087,0.16,ml,0.16,-0.79588,land,yes,dasyuromorphia,"Frappell and Baudinette, 1995"
